Filename, Result-Old, Proof-Old, Result-New, Proof-New
./Ordered_Resolution_Prover_veriT/x2020_07_28_23_49_28_647_7735362.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_28_19_27_46_002_5720588.smt_in,unknown,Failure,unknown,Failure
./Ordered_Resolution_Prover_veriT/x2020_07_28_23_31_46_048_7356066.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_28_23_31_14_001_7333496.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_29_03_41_52_960_8560882.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_29_02_14_23_273_5566658.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_29_04_27_44_942_8913632.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_28_23_31_31_371_7343286.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_28_19_35_07_676_5853496.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_29_02_04_01_304_5500462.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_29_04_14_56_168_8791660.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_29_03_55_23_223_8741662.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_28_23_23_51_228_7172074.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_29_02_01_16_644_5442968.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_28_23_25_28_860_7212408.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_29_03_31_54_279_8417188.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_29_03_48_18_914_8656120.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_28_19_42_14_120_5961368.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_29_01_10_23_318_7161080.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_28_21_30_18_603_5478926.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_29_00_46_08_943_6222254.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_28_21_25_26_243_7660544.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_28_23_35_21_791_7431156.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_29_01_25_21_115_5514738.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_28_22_22_32_395_5779322.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_29_02_29_35_898_5741632.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_29_04_44_04_136_5638868.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_29_02_52_27_580_7035068.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_28_19_41_12_441_5950706.smt_in,unknown,Failure,unknown,Failure
./Ordered_Resolution_Prover_veriT/x2020_07_29_04_44_57_922_5690322.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_29_01_35_26_218_5461336.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_29_01_33_12_963_5436838.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_28_22_01_49_210_5576486.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_29_00_43_34_234_6173664.smt_in,unknown,Failure,unknown,Failure
./Ordered_Resolution_Prover_veriT/x2020_07_29_02_24_42_833_5682490.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_28_19_40_37_609_5941466.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_29_02_17_16_516_5600148.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_28_23_52_01_193_7796784.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_28_22_04_13_244_5406848.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_29_00_50_46_280_6293978.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_28_22_01_35_810_5565042.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_28_21_27_27_071_5440790.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_29_04_22_19_856_8862020.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_29_02_05_31_650_5523176.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_28_22_02_04_807_5590668.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_28_23_32_15_744_7362750.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_29_00_27_47_367_5360036.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_29_02_03_27_965_5480684.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_28_21_52_48_419_6580796.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_29_02_25_46_856_5697640.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_28_22_45_46_451_6373306.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_28_23_31_35_862_7345780.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_29_00_39_03_752_6108704.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_28_20_49_20_725_6835160.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_28_19_10_19_420_5516754.smt_in,unknown,Failure,unknown,Failure
./Ordered_Resolution_Prover_veriT/x2020_07_28_23_11_49_455_6935158.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_29_00_41_59_804_6145548.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_28_23_25_27_568_7210004.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_29_02_27_56_836_5727372.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_29_00_26_53_509_9833036.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_28_20_07_07_382_5675288.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_28_20_14_43_452_5825446.smt_in,unknown,Failure,unknown,Failure
./Ordered_Resolution_Prover_veriT/x2020_07_28_21_36_57_600_5613964.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_29_01_27_09_710_5376074.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_29_02_17_17_852_5602260.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_29_02_19_00_889_5619484.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_28_21_52_53_371_6584414.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_29_03_53_32_084_8731536.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_28_23_18_50_649_7061430.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_29_03_31_52_410_8414634.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_28_22_29_34_848_5935832.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_29_00_26_51_274_9830476.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_28_21_17_39_123_7537830.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_29_01_41_21_047_5547886.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_29_00_42_06_685_6151928.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_29_02_09_52_533_5478578.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_29_01_42_01_284_5561830.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_29_00_45_26_342_6206388.smt_in,unsat,Success,unsat,Success
./Ordered_Resolution_Prover_veriT/x2020_07_28_20_48_07_281_6810570.smt_in,unknown,Failure,unknown,Failure
